ID;time-stamp;hour;day-of-week;available-bike-stands;available-bikes
1001;2015-02-01 21:34:35+00:00;21;Sunday;0;16
1001;2015-02-01 21:39:24+00:00;21;Sunday;0;16
1001;2015-02-01 21:40:03+00:00;21;Sunday;1;15
1001;2015-02-01 21:48:14+00:00;21;Sunday;0;16
1001;2015-02-01 21:58:18+00:00;21;Sunday;0;16
1001;2015-02-01 22:07:23+00:00;22;Sunday;0;16
1001;2015-02-01 22:17:25+00:00;22;Sunday;0;16
1001;2015-02-01 22:19:55+00:00;22;Sunday;0;16
1001;2015-02-01 22:29:59+00:00;22;Sunday;0;16
1001;2015-02-01 22:40:02+00:00;22;Sunday;0;16
1001;2015-02-01 22:50:06+00:00;22;Sunday;0;16
1001;2015-02-01 22:51:25+00:00;22;Sunday;0;16
1001;2015-02-01 22:51:50+00:00;22;Sunday;1;15
1001;2015-02-01 23:01:53+00:00;23;Sunday;1;15
1001;2015-02-01 23:11:57+00:00;23;Sunday;1;15
1001;2015-02-01 23:22:01+00:00;23;Sunday;1;15
1001;2015-02-01 23:32:05+00:00;23;Sunday;1;15
1001;2015-02-01 23:42:09+00:00;23;Sunday;1;15
1001;2015-02-01 23:52:12+00:00;23;Sunday;1;15
1001;2015-02-01 23:59:26+00:00;23;Sunday;0;16
1001;2015-02-02 00:09:30+00:00;0;Monday;0;16
1001;2015-02-02 00:13:26+00:00;0;Monday;0;16
1001;2015-02-02 00:13:47+00:00;0;Monday;1;15
1001;2015-02-02 00:23:51+00:00;0;Monday;1;15
1001;2015-02-02 00:33:54+00:00;0;Monday;1;15
1001;2015-02-02 00:43:58+00:00;0;Monday;1;15
1001;2015-02-02 00:54:02+00:00;0;Monday;1;15
1001;2015-02-02 01:04:06+00:00;1;Monday;1;15
1001;2015-02-02 01:14:09+00:00;1;Monday;1;15
1001;2015-02-02 01:24:13+00:00;1;Monday;1;15
1001;2015-02-02 01:34:17+00:00;1;Monday;1;15
1001;2015-02-02 01:41:35+00:00;1;Monday;1;15
1001;2015-02-02 01:41:46+00:00;1;Monday;0;16
1001;2015-02-02 01:51:50+00:00;1;Monday;0;16
1001;2015-02-02 02:01:54+00:00;2;Monday;0;16
1001;2015-02-02 02:11:57+00:00;2;Monday;0;16
1001;2015-02-02 02:22:01+00:00;2;Monday;0;16
1001;2015-02-02 02:30:35+00:00;2;Monday;1;15
1001;2015-02-02 02:35:40+00:00;2;Monday;1;15
1001;2015-02-02 02:36:17+00:00;2;Monday;2;14
1001;2015-02-02 02:46:21+00:00;2;Monday;2;14
1001;2015-02-02 02:56:25+00:00;2;Monday;2;14
1001;2015-02-02 03:06:28+00:00;3;Monday;2;14
1001;2015-02-02 03:13:14+00:00;3;Monday;2;14
1001;2015-02-02 03:16:26+00:00;3;Monday;2;14
1001;2015-02-02 03:26:30+00:00;3;Monday;2;14
1001;2015-02-02 03:36:34+00:00;3;Monday;2;14
1001;2015-02-02 03:46:38+00:00;3;Monday;2;14
1001;2015-02-02 03:56:42+00:00;3;Monday;2;14
1001;2015-02-02 04:06:45+00:00;4;Monday;2;14
1001;2015-02-02 04:10:19+00:00;4;Monday;1;15
1001;2015-02-02 04:10:51+00:00;4;Monday;2;14
1001;2015-02-02 04:20:55+00:00;4;Monday;2;14
1001;2015-02-02 04:30:59+00:00;4;Monday;2;14
1001;2015-02-02 04:41:02+00:00;4;Monday;2;14
1001;2015-02-02 04:51:06+00:00;4;Monday;2;14
1001;2015-02-02 05:01:09+00:00;5;Monday;2;14
1001;2015-02-02 05:11:13+00:00;5;Monday;2;14
1001;2015-02-02 05:21:17+00:00;5;Monday;2;14
1001;2015-02-02 05:31:21+00:00;5;Monday;2;14
1001;2015-02-02 05:41:24+00:00;5;Monday;2;14
1001;2015-02-02 05:51:28+00:00;5;Monday;2;14
1001;2015-02-02 06:01:32+00:00;6;Monday;2;14
1001;2015-02-02 06:11:36+00:00;6;Monday;2;14
1001;2015-02-02 06:21:39+00:00;6;Monday;2;14
1001;2015-02-02 06:31:43+00:00;6;Monday;2;14
1001;2015-02-02 06:41:52+00:00;6;Monday;2;14
1001;2015-02-02 06:42:49+00:00;6;Monday;3;13
1001;2015-02-02 06:49:40+00:00;6;Monday;4;12
1001;2015-02-02 06:51:28+00:00;6;Monday;5;11
1001;2015-02-02 06:51:55+00:00;6;Monday;4;12
1001;2015-02-02 06:54:23+00:00;6;Monday;5;11
1001;2015-02-02 06:57:02+00:00;6;Monday;4;12
1001;2015-02-02 07:00:47+00:00;7;Monday;3;13
1001;2015-02-02 07:04:59+00:00;7;Monday;2;14
1001;2015-02-02 07:15:03+00:00;7;Monday;2;14
1001;2015-02-02 07:17:17+00:00;7;Monday;3;13
1001;2015-02-02 07:19:35+00:00;7;Monday;2;14
1001;2015-02-02 07:20:08+00:00;7;Monday;4;12
1001;2015-02-02 07:26:40+00:00;7;Monday;4;12
1001;2015-02-02 07:28:04+00:00;7;Monday;4;12
1001;2015-02-02 07:29:39+00:00;7;Monday;5;11
1001;2015-02-02 07:38:19+00:00;7;Monday;6;10
1001;2015-02-02 07:40:30+00:00;7;Monday;5;11
1001;2015-02-02 07:44:38+00:00;7;Monday;4;12
1001;2015-02-02 07:47:05+00:00;7;Monday;3;13
1001;2015-02-02 07:48:39+00:00;7;Monday;2;14
1001;2015-02-02 07:51:30+00:00;7;Monday;3;13
1001;2015-02-02 07:51:46+00:00;7;Monday;4;12
1001;2015-02-02 07:58:34+00:00;7;Monday;3;13
1001;2015-02-02 07:59:43+00:00;7;Monday;3;13
1001;2015-02-02 08:00:38+00:00;8;Monday;5;11
1001;2015-02-02 08:01:05+00:00;8;Monday;6;10
1001;2015-02-02 08:03:17+00:00;8;Monday;6;10
1001;2015-02-02 08:03:50+00:00;8;Monday;7;9
1001;2015-02-02 08:07:23+00:00;8;Monday;6;10
1001;2015-02-02 08:08:34+00:00;8;Monday;6;10
1001;2015-02-02 08:09:22+00:00;8;Monday;7;9
1001;2015-02-02 08:10:23+00:00;8;Monday;9;7
1001;2015-02-02 08:11:05+00:00;8;Monday;8;8
1001;2015-02-02 08:19:29+00:00;8;Monday;7;9
1001;2015-02-02 08:21:15+00:00;8;Monday;6;10
1001;2015-02-02 08:31:20+00:00;8;Monday;6;10
1001;2015-02-02 08:32:50+00:00;8;Monday;5;11
1001;2015-02-02 08:36:41+00:00;8;Monday;4;12
1001;2015-02-02 08:37:10+00:00;8;Monday;5;11
1001;2015-02-02 08:38:09+00:00;8;Monday;5;11
1001;2015-02-02 08:39:41+00:00;8;Monday;5;11
1001;2015-02-02 08:43:42+00:00;8;Monday;5;11
1001;2015-02-02 08:43:45+00:00;8;Monday;6;10
1001;2015-02-02 08:46:23+00:00;8;Monday;7;9
